Event Name,Event Date,Event Location,Event Type,Event Region,Longitude,Latitude,Weather Forecast
Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,Not available,Not available,Not available
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,Not available,Not available,Not available
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,Not available,Not available,Not available
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,Not available,Not available,Not available
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,Not available,Not available,Not available
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,Not available,Not available,Not available
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,Not available,Not available,Not available
Seattle Sounders FC vs. LA Galaxy,5/5/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,Not available,Not available,Not available
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,Not available,Not available,Not available
Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Seattle Storm vs. Indiana Fever,5/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Washington Mystics,5/25/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Sounders FC vs. Real Salt Lake,5/29/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,Not available,Not available,Not available
Seattle Storm vs. Phoenix Mercury,6/4/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,Not available,Not available,Not available
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Storm vs. Los Angeles Sparks,6/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,Not available,Not available,Not available
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Indiana Fever,6/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
Seattle Storm vs. Dallas Wings,6/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Sounders FC vs. Chicago Fire FC,6/29/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,Not available,Not available,Not available
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,Not available,Not available,Not available
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
Seattle Storm vs Dallas Wings,7/1/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Chicago Sky,7/5/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,Not available,Not available,Not available
Seattle Storm vs.Chicago Sky,7/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Las Vegas Aces,7/10/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Minnesota Lynx,7/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Atlanta Dream,7/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Sounders FC vs. Los Angeles FC,7/20/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,Not available,Not available,Not available
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Olivia Rodrigo,8/6/2024 through 8/7/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Washington Mystics,8/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Atlanta Dream,8/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. New York Liberty,8/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Poke in the Eye: Art of the West Coast Counterculture,6/21/2024 through 9/2/2024,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
"Chicago and Earth, Wind & Fire,",9/3/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Phoenix Mercury,9/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Seattle Sounders FC vs. Sporting Kansas City,9/15/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Seattle Storm vs. Los Angeles Sparks,9/15/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Storm vs. Las Vegas Aces,9/17/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Sounders FC vs. San Jose Earthquakes,9/18/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Seatle Sounders FC vs. Houston Dynamo,9/28/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Raul de Nieves,Now through 9/30/2024,Henry Art Gallery,Museums,University District,Not available,Not available,Not available
Seattle Sounders FC vs. Portland Timbers,10/19/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Sebastian Maniscalco,10/25/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
Frye Salon,Now through 10/27/2024,Frye Art Museum,Museums,Capitol Hill / Central District,Not available,Not available,Not available
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024,Tacoma Art Museum,Museums,South,Not available,Not available,Not available
Joyce J. Scott: Walk a Mile in My Dreams,10/17/2024 through 1/20/2025,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026,Bellevue Arts Museum,Museums,Bellevue / Eastside,Not available,Not available,Not available
Explore The Market,Ongoing,Pike Place Market,Festivals & Special Events,Downtown,Not available,Not available,Not available
Olympic Sculpture Park,Ongoing,Olympic Sculpture Park,Visual Arts & Galleries,Downtown,Not available,Not available,Not available
Infinite Worlds of Science Fiction,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
John Grade: Middle Fork,Ongoing,Seattle Art Museum,Museums,Downtown,Not available,Not available,Not available
Scared to Death: The Thrill of Horror Film,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Nirvana: Taking Punk To the Masses,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Vietnam Divided: War Above Southeast Asia,Ongoing,The Museum of Flight,Museums,South Seattle,Not available,Not available,Not available
Science Fiction and Fantasy Hall of Fame,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Honoring Our Journey,Ongoing,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing,Museum of Glass,Museums,South,Not available,Not available,Not available
Great Hall of Washington History,Ongoing,Washington State History Museum,Museums,South,Not available,Not available,Not available
Humboldt Penguin Exhibit,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,Not available,Not available,Not available
Giant Pacific Octopus,Ongoing,Seattle Aquarium,Museums,Downtown,Not available,Not available,Not available
Meet our Marine Mammals,Ongoing,Seattle Aquarium,Museums,Downtown,Not available,Not available,Not available
Window on Washington Waters,Ongoing,Seattle Aquarium,Museums,Downtown,Not available,Not available,Not available
Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,Not available,Not available,Not available
Amazing Life,Ongoing,Burke Museum,Museums,University District,Not available,Not available,Not available
